Batch change
Module name, Device, Current value, Display format, Comment
Global,R000,-,1-bit BIN,
Global,R001,-,1-bit BIN,
Global,R002,-,1-bit BIN,
Global,R003,-,1-bit BIN,
Global,R004,-,1-bit BIN,
Global,R005,-,1-bit BIN,
Global,R006,-,1-bit BIN,
Global,R007,-,1-bit BIN,
Global,R008,-,1-bit BIN,
Global,R009,-,1-bit BIN,
Global,R010,-,1-bit BIN,
Global,R011,-,1-bit BIN,
Global,R012,-,1-bit BIN,
Global,R013,-,1-bit BIN,
Global,R014,-,1-bit BIN,
Global,R015,-,1-bit BIN,
Global,R100,-,1-bit BIN,
Global,R101,-,1-bit BIN,
Global,R102,-,1-bit BIN,
Global,R103,-,1-bit BIN,
Global,R104,-,1-bit BIN,
Global,R105,-,1-bit BIN,
Global,R106,-,1-bit BIN,
Global,R107,-,1-bit BIN,
Global,R108,-,1-bit BIN,
Global,R109,-,1-bit BIN,
Global,R110,-,1-bit BIN,
Global,R111,-,1-bit BIN,
Global,R112,-,1-bit BIN,
Global,R113,-,1-bit BIN,
Global,R114,-,1-bit BIN,
Global,R115,-,1-bit BIN,
Global,R200,-,1-bit BIN,
Global,R201,-,1-bit BIN,
Global,R202,-,1-bit BIN,
Global,R203,-,1-bit BIN,
Global,R204,-,1-bit BIN,
Global,R205,-,1-bit BIN,
Global,R206,-,1-bit BIN,
Global,R207,-,1-bit BIN,
Global,R208,-,1-bit BIN,
Global,R209,-,1-bit BIN,
Global,R210,-,1-bit BIN,
Global,R211,-,1-bit BIN,
Global,R212,-,1-bit BIN,
Global,R213,-,1-bit BIN,
Global,R214,-,1-bit BIN,
Global,R215,-,1-bit BIN,
Global,R300,-,1-bit BIN,
Global,R301,-,1-bit BIN,
Global,R302,-,1-bit BIN,
Global,R303,-,1-bit BIN,
Global,R304,-,1-bit BIN,
Global,R305,-,1-bit BIN,
Global,R306,-,1-bit BIN,
Global,R307,-,1-bit BIN,
Global,R308,-,1-bit BIN,
Global,R309,-,1-bit BIN,
Global,R310,-,1-bit BIN,
Global,R311,-,1-bit BIN,
Global,R312,-,1-bit BIN,
Global,R313,-,1-bit BIN,
Global,R314,-,1-bit BIN,
Global,R315,-,1-bit BIN,
Global,R400,-,1-bit BIN,
Global,R401,-,1-bit BIN,
Global,R402,-,1-bit BIN,
Global,R403,-,1-bit BIN,
Global,R404,-,1-bit BIN,
Global,R405,-,1-bit BIN,
Global,R406,-,1-bit BIN,
Global,R407,-,1-bit BIN,
Global,R408,-,1-bit BIN,
Global,R409,-,1-bit BIN,
Global,R410,-,1-bit BIN,
Global,R411,-,1-bit BIN,
Global,R412,-,1-bit BIN,
Global,R413,-,1-bit BIN,
Global,R414,-,1-bit BIN,
Global,R415,-,1-bit BIN,
Global,R500,-,1-bit BIN,
Global,R501,-,1-bit BIN,
Global,R502,-,1-bit BIN,
Global,R503,-,1-bit BIN,
Global,R504,-,1-bit BIN,
Global,R505,-,1-bit BIN,
Global,R506,-,1-bit BIN,
Global,R507,-,1-bit BIN,
Global,R508,-,1-bit BIN,
Global,R509,-,1-bit BIN,
Global,R510,-,1-bit BIN,
Global,R511,-,1-bit BIN,
Global,R512,-,1-bit BIN,
Global,R513,-,1-bit BIN,
Global,R514,-,1-bit BIN,
Global,R515,-,1-bit BIN,
Global,R600,-,1-bit BIN,
Global,R601,-,1-bit BIN,
Global,R602,-,1-bit BIN,
Global,R603,-,1-bit BIN,
Global,R604,-,1-bit BIN,
Global,R605,-,1-bit BIN,
Global,R606,-,1-bit BIN,
Global,R607,-,1-bit BIN,
Global,R608,-,1-bit BIN,
Global,R609,-,1-bit BIN,
Global,R610,-,1-bit BIN,
Global,R611,-,1-bit BIN,
Global,R612,-,1-bit BIN,
Global,R613,-,1-bit BIN,
Global,R614,-,1-bit BIN,
Global,R615,-,1-bit BIN,
Global,R700,-,1-bit BIN,
Global,R701,-,1-bit BIN,
Global,R702,-,1-bit BIN,
Global,R703,-,1-bit BIN,
Global,R704,-,1-bit BIN,
Global,R705,-,1-bit BIN,
Global,R706,-,1-bit BIN,
Global,R707,-,1-bit BIN,
Global,R708,-,1-bit BIN,
Global,R709,-,1-bit BIN,
Global,R710,-,1-bit BIN,
Global,R711,-,1-bit BIN,
Global,R712,-,1-bit BIN,
Global,R713,-,1-bit BIN,
Global,R714,-,1-bit BIN,
Global,R715,-,1-bit BIN,
Global,R800,-,1-bit BIN,
Global,R801,-,1-bit BIN,
Global,R802,-,1-bit BIN,
Global,R803,-,1-bit BIN,
Global,R804,-,1-bit BIN,
Global,R805,-,1-bit BIN,
Global,R806,-,1-bit BIN,
Global,R807,-,1-bit BIN,
Global,R808,-,1-bit BIN,
Global,R809,-,1-bit BIN,
Global,R810,-,1-bit BIN,
Global,R811,-,1-bit BIN,
Global,R812,-,1-bit BIN,
Global,R813,-,1-bit BIN,
Global,R814,-,1-bit BIN,
Global,R815,-,1-bit BIN,
Global,R900,-,1-bit BIN,
Global,R901,-,1-bit BIN,
Global,R902,-,1-bit BIN,
Global,R903,-,1-bit BIN,
Global,R904,-,1-bit BIN,
Global,R905,-,1-bit BIN,
Global,R906,-,1-bit BIN,
Global,R907,-,1-bit BIN,
Global,R908,-,1-bit BIN,
Global,R909,-,1-bit BIN,
Global,R910,-,1-bit BIN,
Global,R911,-,1-bit BIN,
Global,R912,-,1-bit BIN,
Global,R913,-,1-bit BIN,
Global,R914,-,1-bit BIN,
Global,R915,-,1-bit BIN,
Global,R1000,-,1-bit BIN,
Global,R1001,-,1-bit BIN,
Global,R1002,-,1-bit BIN,
Global,R1003,-,1-bit BIN,
Global,R1004,-,1-bit BIN,
Global,R1005,-,1-bit BIN,
Global,R1006,-,1-bit BIN,
Global,R1007,-,1-bit BIN,
Global,R1008,-,1-bit BIN,
Global,R1009,-,1-bit BIN,
Global,R1010,-,1-bit BIN,
Global,R1011,-,1-bit BIN,
Global,R1012,-,1-bit BIN,
Global,R1013,-,1-bit BIN,
Global,R1014,-,1-bit BIN,
Global,R1015,-,1-bit BIN,
Global,R1100,-,1-bit BIN,
Global,R1101,-,1-bit BIN,
Global,R1102,-,1-bit BIN,
Global,R1103,-,1-bit BIN,
Global,R1104,-,1-bit BIN,
Global,R1105,-,1-bit BIN,
Global,R1106,-,1-bit BIN,
Global,R1107,-,1-bit BIN,
Global,R1108,-,1-bit BIN,
Global,R1109,-,1-bit BIN,
Global,R1110,-,1-bit BIN,
Global,R1111,-,1-bit BIN,
Global,R1112,-,1-bit BIN,
Global,R1113,-,1-bit BIN,
Global,R1114,-,1-bit BIN,
Global,R1115,-,1-bit BIN,
Global,R1200,-,1-bit BIN,
Global,R1201,-,1-bit BIN,
Global,R1202,-,1-bit BIN,
Global,R1203,-,1-bit BIN,
Global,R1204,-,1-bit BIN,
Global,R1205,-,1-bit BIN,
Global,R1206,-,1-bit BIN,
Global,R1207,-,1-bit BIN,
Global,R1208,-,1-bit BIN,
Global,R1209,-,1-bit BIN,
Global,R1210,-,1-bit BIN,
Global,R1211,-,1-bit BIN,
Global,R1212,-,1-bit BIN,
Global,R1213,-,1-bit BIN,
Global,R1214,-,1-bit BIN,
Global,R1215,-,1-bit BIN,
Global,R1300,-,1-bit BIN,
Global,R1301,-,1-bit BIN,
Global,R1302,-,1-bit BIN,
Global,R1303,-,1-bit BIN,
Global,R1304,-,1-bit BIN,
Global,R1305,-,1-bit BIN,
Global,R1306,-,1-bit BIN,
Global,R1307,-,1-bit BIN,
Global,R1308,-,1-bit BIN,
Global,R1309,-,1-bit BIN,
Global,R1310,-,1-bit BIN,
Global,R1311,-,1-bit BIN,
Global,R1312,-,1-bit BIN,
Global,R1313,-,1-bit BIN,
Global,R1314,-,1-bit BIN,
Global,R1315,-,1-bit BIN,
Global,R1400,-,1-bit BIN,
Global,R1401,-,1-bit BIN,
Global,R1402,-,1-bit BIN,
Global,R1403,-,1-bit BIN,
Global,R1404,-,1-bit BIN,
Global,R1405,-,1-bit BIN,
Global,R1406,-,1-bit BIN,
Global,R1407,-,1-bit BIN,
Global,R1408,-,1-bit BIN,
Global,R1409,-,1-bit BIN,
Global,R1410,-,1-bit BIN,
Global,R1411,-,1-bit BIN,
Global,R1412,-,1-bit BIN,
Global,R1413,-,1-bit BIN,
Global,R1414,-,1-bit BIN,
Global,R1415,-,1-bit BIN,
Global,R1500,-,1-bit BIN,
Global,R1501,-,1-bit BIN,
Global,R1502,-,1-bit BIN,
Global,R1503,-,1-bit BIN,
Global,R1504,-,1-bit BIN,
Global,R1505,-,1-bit BIN,
Global,R1506,-,1-bit BIN,
Global,R1507,-,1-bit BIN,
Global,R1508,-,1-bit BIN,
Global,R1509,-,1-bit BIN,
Global,R1510,-,1-bit BIN,
Global,R1511,-,1-bit BIN,
